name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,city,latitude,longitude,has_online_delivery,is_delivering_now,has_table_booking
KFC,Desserts,2.4,Poor,6,R,80,1,"Canal Walk Mall, Century City",Cape Town,-33.8926666667,18.5105000000,0,0,0
Milky Lane,"Desserts, Ice Cream",2.6,Average,15,R,80,1,"Cavendish Square, Claremont",Cape Town,-33.9801200000,18.4631560000,0,0,0
Wakaberry,Desserts,2.6,Average,10,R,80,1,"Somerset Mall, Somerset West",Cape Town,-34.0822190000,18.8236540000,0,0,0
Marcel's Frozen Yoghurt,Desserts,2.6,Average,16,R,100,2,"Tygervalley Shopping Centre, Bellvile",Cape Town,-33.8881988281,18.6339091882,0,0,0
Waffle Mania,Desserts,2.6,Average,5,R,120,2,"Canal Walk Mall, Century City",Cape Town,-33.8926666667,18.5106666667,0,0,0
Dunkin Donuts,"Bakery, Desserts",2.7,Average,12,R,120,2,Kenilworth,Cape Town,-33.9883433148,18.4843864292,0,0,0
Milky Lane,"Desserts, Ice Cream",2.7,Average,15,R,80,1,Table View,Cape Town,-33.8219310000,18.4771230000,0,0,0
Milky Lane,"Desserts, Ice Cream",2.7,Average,12,R,80,1,Sea Point,Cape Town,-33.9133333333,18.3916666667,0,0,0
The Donut Centre,Desserts,2.7,Average,4,R,70,1,"Bayside Mall, Table View",Cape Town,-33.8235000000,18.4890000000,0,0,0
Milky Lane,"Desserts, Ice Cream",2.7,Average,7,R,80,1,"Grandwest Casino, Goodwood",Cape Town,-33.9169532509,18.5475745797,0,0,0
Sirocco Ice Cream,"Desserts, Ice Cream",2.8,Average,7,R,80,1,"Surfers Corner, Muizenberg",Cape Town,-34.1058080000,18.4730910000,0,0,0
Icezeit Gelateria and Espresso Bar,"Desserts, Ice Cream",2.8,Average,5,R,75,1,Sea Point,Cape Town,-33.9186150000,18.3843980000,0,0,0
Gelato Mania,"Desserts, Ice Cream",2.8,Average,4,R,100,2,"Village Square, Hermanus",Cape Town,-34.4200220000,19.2435350000,0,0,0
Cookies Bakery and Takeaways,"Bakery, Desserts, Fast Food",2.9,Average,6,R,150,2,Ottery,Cape Town,-33.9906910000,18.5067990000,0,0,0
Marcel's Frozen Yoghurt,Desserts,2.9,Average,5,R,100,2,"Eikestad Mall, Stellenbosch",Cape Town,-33.9353850000,18.8602520000,0,0,0
Milky Lane,"Desserts, Ice Cream",2.9,Average,3,R,80,1,"Vangate Mall, Athlone",Cape Town,-33.9611170000,18.5395840000,0,0,0
Addictions,"Desserts, Ice Cream",2.9,Average,2,R,120,2,"Mainstream Shopping Centre, Hout Bay",Cape Town,-34.0426660000,18.3586300000,0,0,0
Milky Lane,"Desserts, Ice Cream",3.0,Average,5,R,80,1,"Kenilworth Center, Kenilworth",Cape Town,-33.9877903816,18.4842120856,0,0,0
Wakaberry,Desserts,3.0,Average,5,R,80,1,Stellenbosch,Cape Town,-33.9380483868,18.8609766215,0,0,0
Met Eish,Ice Cream,3.0,Average,7,R,80,1,"Eden On The Bay Centre, Blouberg",Cape Town,-33.7919560000,18.4571620000,0,0,0
Uncle Barry's Ice-Cream,"Desserts, Ice Cream",3.0,Average,5,R,70,1,Gordons Bay,Cape Town,-34.1566880000,18.8684470000,0,0,0
Sweet Dreams,Desserts,3.0,Average,4,R,40,1,"V & A Foodmarket, V & A Waterfront",Cape Town,-33.9064010000,18.4198230000,0,0,0
Marcel's Frozen Yoghurt,Desserts,3.0,Average,4,R,100,2,Somerset West,Cape Town,-34.0827300000,18.8244100000,0,0,0
Jessy's Waffles,Desserts,3.1,Average,10,R,100,2,Gardens,Cape Town,0.0000000000,0.0000000000,0,0,0
Wicked Treats,"Cafe, Bakery, Desserts",3.1,Average,9,R,100,2,Riebeek Kasteel,Cape Town,-33.3857120000,18.8965510000,0,0,0
Marcel's Frozen Yoghurt,Desserts,3.1,Average,5,R,100,2,Kenilworth,Cape Town,-33.9897296628,18.4841765463,0,0,0
CocoaFair,Desserts,3.2,Average,6,R,120,2,"Old Biscuit Mill, Woodstock",Cape Town,-33.9277270000,18.4576270000,0,0,0
Cold Gold Artisan Ice Cream & Sorbet,"Desserts, Ice Cream",3.1,Average,8,R,90,1,Stellenbosch,Cape Town,-33.9407570000,18.8464440000,0,0,0
N' Ice,"Ice Cream, Desserts",3.1,Average,6,R,70,1,Strand,Cape Town,-34.1114590000,18.8222590000,0,0,0
Marcel's Frozen Yoghurt,Desserts,3.1,Average,9,R,100,2,"Blue Route Mall, Tokai",Cape Town,-34.0640210000,18.4543590000,0,0,0
Marcel's Frozen Yoghurt,Desserts,3.1,Average,5,R,100,2,"Bayside Mall, Table View",Cape Town,-33.8236104209,18.4890279919,0,0,0
Baskin Robbins,"Ice Cream, Desserts",3.2,Average,15,R,80,1,"Tygervalley Shopping Centre, Bellvile",Cape Town,-33.8779373207,18.6602736264,0,0,0
Denise's Delights,"Cafe, Bakery, Desserts",3.2,Average,13,R,150,2,Sea Point,Cape Town,-33.9188330000,18.3867810000,0,0,0
Marcel's Frozen Yoghurt,Desserts,3.2,Average,7,R,100,2,"N1 City Mall, Goodwood",Cape Town,-33.8919780763,18.5598346218,0,0,0
Venezia Ice Cream Parlour,"Ice Cream, Desserts",3.3,Average,23,R,120,2,Sea Point,Cape Town,-33.9169587000,18.3887067000,0,0,0
Myshake Milkshake Bars,"Ice Cream, Desserts, International",3.3,Average,12,R,100,2,"Canal Walk Mall, Century City",Cape Town,-33.8931280000,18.5116430000,0,0,0
Haagen Dazs,"Desserts, Ice Cream",3.3,Average,12,R,120,2,Century City,Cape Town,-33.8923507319,18.5104065388,0,0,0
Marcel's Frozen Yoghurt,Desserts,3.4,Average,25,R,100,2,"Canal Walk Mall, Century City",Cape Town,-33.8930000000,18.5105000000,0,0,0
Gelato Mania,"Desserts, Ice Cream",3.4,Average,14,R,100,2,"Cavendish Square, Claremont",Cape Town,-33.9806130000,18.4636580000,0,0,0
Addictions,"Desserts, Ice Cream",3.4,Average,22,R,80,1,"The Promenade, Camps Bay",Cape Town,-33.9531666667,18.3775000000,0,0,0
Gelato Mania,"Desserts, Ice Cream",3.4,Average,20,R,100,2,"The Promenade, Camps Bay",Cape Town,-33.9526666667,18.3775000000,0,0,0
Jean-Pierre Fortain Chocolatier,Desserts,3.4,Average,10,R,50,1,"V & A Foodmarket, V & A Waterfront",Cape Town,-33.9064010000,18.4198230000,0,0,0
De Villiers Chocolate Cafe,"Cafe, Desserts",3.4,Average,13,R,180,2,Franschhoek,Cape Town,-33.9129914708,19.1218244657,0,0,0
Marcel's Frozen Yoghurt,Desserts,3.5,Good,43,R,100,2,"Fountain Square, Rondebosch",Cape Town,-33.9598333333,18.4705000000,0,0,0
Marcel's Frozen Yoghurt,Desserts,3.5,Good,34,R,100,2,"Victoria Wharf, V & A Waterfront",Cape Town,-33.9046079386,18.4200529754,0,0,0
Gelato Mania,"Desserts, Ice Cream",3.5,Good,30,R,100,2,"Victoria Wharf, V & A Waterfront",Cape Town,-33.9043333333,18.4203333333,0,0,0
For the Love of Yummyness,Desserts,3.5,Good,25,R,100,2,"V & A Foodmarket, V & A Waterfront",Cape Town,-33.9064010000,18.4198230000,0,0,0
The Donut Centre,Desserts,3.5,Good,31,R,70,1,"Canal Walk Mall, Century City",Cape Town,-33.8928333333,18.5106666667,0,0,0
Sinnfull Ice Cream,Desserts,3.5,Good,26,R,50,1,Hout Bay,Cape Town,-34.0548250000,18.3472110000,0,0,0
Myog,Desserts,3.5,Good,18,R,100,2,Stellenbosch,Cape Town,-33.9373050000,18.8599030000,0,0,0
IceDream,"Desserts, Ice Cream",3.5,Good,19,R,60,1,"Mainstream Shopping Centre, Hout Bay",Cape Town,-34.0426660000,18.3586300000,0,0,0
Gelato Mania,"Desserts, Ice Cream",3.6,Good,56,R,100,2,Green Point,Cape Town,-33.9085175180,18.4113870934,0,0,0
The Dairy Den,Ice Cream,3.6,Good,27,R,70,1,Sea Point,Cape Town,-33.9145060000,18.3906000000,0,0,0
Haagen Dazs,"Desserts, Ice Cream",3.7,Good,63,R,120,2,"Victoria Wharf, V & A Waterfront",Cape Town,-33.9043333333,18.4200000000,0,0,0
Asara Deli,"Desserts, Deli",3.7,Good,25,R,80,1,"Asara Wine Estate, Stellenbosch",Cape Town,-33.9435000000,18.8085000000,0,0,0
The Creamery,"Desserts, Ice Cream",3.7,Good,38,R,75,1,V & A Waterfront,Cape Town,-33.9053510000,18.4195710000,0,0,0
Cookies and Cream ,"Ice Cream, Desserts",3.7,Good,20,R,50,1,CBD,Cape Town,-33.9221930000,18.4159220000,0,0,0
The Ice Cafe,Desserts,3.7,Good,41,R,45,1,"Kalk Bay, Bay Area",Cape Town,-34.1260000000,18.4498333333,0,0,0
Le Delizie,"Ice Cream, Desserts",3.6,Good,17,R,50,1,"Dean Street Arcade, Newlands",Cape Town,-33.9713770000,18.4641800000,0,0,0
Myog,Desserts,3.8,Good,35,R,100,2,Sea Point,Cape Town,-33.9207670000,18.3835440000,0,0,0
Baskin Robbins,"Ice Cream, Desserts",3.9,Good,38,R,80,1,"Canal Walk Mall, Century City",Cape Town,-33.8939850000,18.5092750000,0,0,0
DV Artisan Chocolate,Desserts,3.9,Good,23,R,70,1,"Spice Route Farm, Paarl",Cape Town,-33.7608640000,18.9167030000,0,0,0
Myog,Desserts,4.1,Very Good,86,R,100,2,Gardens,Cape Town,-33.9315000000,18.4093333333,0,0,0
The Creamery,"Desserts, Ice Cream",4.1,Very Good,44,R,75,1,Claremont,Cape Town,-33.9812780000,18.4674220000,0,0,0
The Creamery,"Desserts, Ice Cream",4.2,Very Good,110,R,110,2,Green Point,Cape Town,-33.9040931407,18.3990827948,0,0,0
The Velvet Cake Co.,"Cafe, Desserts, Bakery",4.4,Very Good,126,R,160,2,Bellville,Cape Town,-33.8683006732,18.6411799863,0,0,0
My Sugar,"Cafe, Patisserie, Bakery, Desserts",4.5,Excellent,195,R,125,2,Sea Point,Cape Town,-33.9216920000,18.3827590000,0,0,0
The Creamery,"Desserts, Ice Cream",4.5,Excellent,388,R,110,2,Newlands,Cape Town,-33.9702860000,18.4619500000,0,0,0
