name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,city,latitude,longitude,has_online_delivery,is_delivering_now,has_table_booking
Urbanologi,Tapas,4.9,Excellent,320,R,700,4,Marshalltown,Inner City,-26.2070910000,28.0318630000,0,0,0
Gemelli Cucina Bar,"Contemporary, Italian",4.8,Excellent,836,R,450,4,Bryanston,Sandton,-26.0519822877,28.0230287835,0,0,0
Cafe Del Sol Classico,"Italian, Pizza, Beverages, Desserts, Grill, Seafood",4.7,Excellent,672,R,400,4,North Riding,Randburg,-26.0629450000,27.9697480000,0,0,0
Brian Lara Rum Eatery,Caribbean,4.7,Excellent,209,R,300,4,Linden,Randburg,-26.1405970000,27.9926690000,0,0,0
Licorish Bistro,"European, South African",4.6,Excellent,976,R,545,4,"Nicolway Shopping Centre, Bryanston",Sandton,-26.0523333333,28.0210000000,0,0,0
Olives and Plates - Club & Conference,"Mediterranean, Greek",4.6,Excellent,141,R,0,1,Braamfontein,Inner City,-26.1933893007,28.0310271308,0,0,0
Momo Baohaus,"Asian, Sushi, Tapas",4.5,Excellent,410,R,300,4,Greenside,Johannesburg,-26.1465800000,28.0110590000,0,0,0
The Big Mouth,"Grill, Steak, Burger, Sushi, Tapas",4.5,Excellent,620,R,400,4,"Nelson Mandela Square, Sandown",Sandton,-26.1075000000,28.0546666667,0,0,0
The Great Eastern Food Bar,Asian,4.5,Excellent,412,R,380,4,Melville,Johannesburg,-26.1744250000,28.0135220000,0,0,0
Pablo Eggs-Go-Bar,"Cafe, Contemporary, Beverages, Burger, Desserts, Juices, Grill, African",4.5,Excellent,335,R,300,4,Melville,Johannesburg,-26.1775990000,28.0085090000,0,0,0
Cafe Del Sol Botanico,"Italian, Pizza, Beverages, Desserts, Grill, Seafood",4.5,Excellent,586,R,400,4,"Bryanston Shopping Centre, Bryanston",Sandton,-26.0748760000,28.0277250000,0,0,0
La Boqueria,International,4.4,Very Good,277,R,300,4,Parktown North,Johannesburg,0.0000000000,0.0000000000,0,0,0
Lupa Osteria,"Italian, Pizza, Seafood, Desserts, Beverages",4.4,Very Good,217,R,350,4,Fourways,Sandton,-26.0306030000,28.0112970000,0,0,0
Escondido Tapas,Mediterranean,4.4,Very Good,813,R,450,4,"Post Office Center, Illovo",Sandton,-26.1290020000,28.0508450000,0,0,0
The Local Grill,"Grill, Steak",4.4,Very Good,402,R,450,4,Parktown North,Johannesburg,-26.1448250000,28.0288880000,0,0,0
Casa Bella,"Italian, Grill, Pizza",4.4,Very Good,200,R,350,4,"Mall of Africa, Midrand",Midrand,-26.0166120000,28.1078970000,0,0,0
Fireroom Sushi and Grill Montecasino,Sushi,4.3,Very Good,80,R,200,3,Magaliessig,Sandton,-26.0235630000,28.0176780000,0,0,0
The Foundry,"Contemporary, Burger, Pizza",4.3,Very Good,821,R,450,4,"Parktown Quarter, Parktown North",Johannesburg,-26.1451666667,28.0280000000,0,0,0
LBV,"Continental, Contemporary",4.3,Very Good,348,R,350,4,"Cramerview Village Shopping Centre, Bryanston",Sandton,-26.0742875289,28.0124209821,0,0,0
Dukes Burgers,Burger,4.3,Very Good,884,R,250,3,Greenside,Johannesburg,-26.1463333333,28.0095000000,0,0,0
Thava,Indian,4.3,Very Good,424,R,360,4,Norwood,Johannesburg,-26.1491666667,28.0776666667,0,0,0
Salsa Mexican Grill,Mexican,4.3,Very Good,583,R,330,4,"Pineslopes Shopping Centre, Fourways",Sandton,-26.0211110000,28.0143750000,0,0,0
Mezepoli Meze & Wine Bar,Mediterranean,4.3,Very Good,370,R,250,3,Melrose Arch,Sandton,-26.1315000000,28.0685000000,0,0,1
